kernel;c_value;gamma;degree;coef0;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std
poly;0.1;0.1;1;0;0.9347666666666666;0.06658117852166132;0.9479666666666667;0.06493199006139683;0.9386666666666666;0.02740298037318818;0.9582666666666667;0.02220300279992175
poly;0.1;0.1;1;1;0.9329333333333333;0.06712408906892764;0.9465666666666667;0.06750602442251603;0.9369333333333333;0.027623420015148937;0.9571333333333333;0.0225757244254384
poly;0.1;0.1;1;10;0.9329333333333333;0.06712408906892764;0.9465666666666667;0.06750602442251603;0.9369333333333333;0.027623420015148937;0.9571333333333333;0.0225757244254384
poly;0.1;0.1;1;100;0.9329000000000001;0.06710201189234193;0.9465666666666667;0.0675788675055548;0.9369;0.027654475225539935;0.9571;0.022623218161879583
poly;0.1;1;1;0;0.9831666666666666;0.014474229973761459;0.9811;0.021802064122463227;0.9820333333333333;0.015241500363590612;0.9872333333333333;0.01062748010270231
poly;0.1;1;1;1;0.9837333333333333;0.013707783676923628;0.9817666666666667;0.020776027852631856;0.9826666666666667;0.014382744290758068;0.9876666666666667;0.010080839912097253
poly;0.1;1;1;10;0.9837333333333333;0.013707783676923628;0.9817666666666667;0.020776027852631856;0.9826666666666667;0.014382744290758068;0.9876666666666667;0.010080839912097253
poly;0.1;1;1;100;0.9837333333333333;0.013707783676923628;0.9817666666666667;0.020776027852631856;0.9826666666666667;0.014382744290758068;0.9876666666666667;0.010080839912097253
poly;0.1;10;1;0;0.9866666666666667;0.011714236352973863;0.9849666666666667;0.017341952984982218;0.9857666666666667;0.012052523940375846;0.9898666666666666;0.008431686268673317
poly;0.1;10;1;1;0.9875333333333334;0.011009692699314254;0.9858666666666668;0.01623032141805375;0.9866333333333334;0.011275785264598338;0.9905333333333334;0.007854510381515448
poly;0.1;10;1;10;0.9875333333333334;0.011009692699314254;0.9858666666666668;0.01623032141805375;0.9866333333333334;0.011275785264598338;0.9905333333333334;0.007854510381515448
poly;0.1;10;1;100;0.9875333333333334;0.011009692699314254;0.9858666666666668;0.01623032141805375;0.9866333333333334;0.011275785264598338;0.9905333333333334;0.007854510381515448
poly;0.1;scale;1;0;0.9855999999999999;0.01100999545867302;0.9840166666666667;0.01587871741252003;0.9847833333333332;0.01165700075777068;0.9891333333333333;0.008111391167159124
poly;0.1;scale;1;1;0.9859666666666667;0.012108399288648092;0.9843333333333333;0.01703242006684118;0.9851333333333333;0.012524509305091894;0.9894;0.008750428560933499
poly;0.1;scale;1;10;0.9860000000000001;0.012100826418059235;0.9843333333333333;0.01703242006684118;0.9851333333333333;0.012524509305091894;0.9894;0.008750428560933499
poly;0.1;scale;1;100;0.9860000000000001;0.012100826418059235;0.9843666666666667;0.017042984871592542;0.9851666666666666;0.012483722735359574;0.9894333333333334;0.008720282870029737
poly;0.1;scale;2;0;0.9876999999999999;0.011166467659918237;0.9860333333333333;0.01645063321982876;0.9868333333333333;0.011469234208670302;0.9906;0.007968061244744574
poly;0.1;scale;2;1;0.9882333333333332;0.009700687260876603;0.9880666666666666;0.011011055050872003;0.9881666666666667;0.010321014162054715;0.9915333333333334;0.007159841711471947
poly;0.1;scale;2;10;0.9889333333333333;0.009856131763188511;0.9888666666666667;0.010068432516202958;0.9889;0.009945350672550464;0.9920666666666667;0.006870468203356559
poly;0.1;scale;2;100;0.9890333333333334;0.009737727318698788;0.9889666666666668;0.010000166665277794;0.989;0.009874715185766126;0.9921333333333333;0.006812733176437603
poly;0.1;scale;3;0;0.9865333333333334;0.011856784274554975;0.9851666666666666;0.016248794827104347;0.9858333333333333;0.012647661180365845;0.9898666666666666;0.008689265408153507
poly;0.1;scale;3;1;0.9887;0.00994132787911153;0.9885;0.010573079021741975;0.9885999999999999;0.010235233265539212;0.9918666666666667;0.0070436732841134275
poly;0.1;scale;3;10;0.9891333333333333;0.009737213838328382;0.9891333333333333;0.00976336690559838;0.9891;0.009778036612735724;0.9922;0.0067549981495186465
poly;0.1;scale;3;100;0.9890333333333333;0.009808329793259074;0.9890333333333333;0.009860189315288702;0.9890333333333333;0.00983378530034765;0.9921333333333333;0.006812733176437603
poly;0.1;scale;4;0;0.9852666666666666;0.013533784885734422;0.9834666666666667;0.018941312872484163;0.9843333333333333;0.014089830848286756;0.9888333333333333;0.009670746265585384
poly;0.1;scale;4;1;0.9889333333333333;0.009733618717277409;0.9887666666666667;0.010355835713902242;0.9888666666666667;0.009986157085352363;0.992;0.006928203230275515
poly;0.1;scale;4;10;0.9890666666666666;0.009743886972524554;0.989;0.00992924971989324;0.9890333333333333;0.00983378530034765;0.9921333333333333;0.006812733176437603
poly;0.1;scale;4;100;0.9892;0.009457272334029501;0.989;0.01021958903283297;0.9891;0.009778036612735724;0.9922;0.0067549981495186465
poly;0.1;scale;5;0;0.9833;0.016852002848326372;0.9804333333333334;0.024539831566930792;0.9817333333333332;0.01647462695581704;0.9870000000000001;0.01125833024919768
poly;0.1;scale;5;1;0.9890666666666666;0.009657294307068251;0.9889000000000001;0.010147413463538384;0.9889666666666667;0.00988955678144038;0.9921333333333333;0.006812733176437603
poly;0.1;scale;5;10;0.9892;0.00956451776097466;0.9891;0.009920181449953405;0.9891666666666666;0.009722311110704788;0.9922666666666666;0.00669726312259969
poly;0.1;scale;5;100;0.9891333333333333;0.009687793006321553;0.9891000000000001;0.009832090316916347;0.9891;0.009778036612735724;0.9922;0.0067549981495186465
poly;0.1;scale;6;0;0.9790666666666668;0.024379157765052725;0.9739333333333334;0.036514289440345564;0.9761333333333333;0.021637313449994994;0.9830666666666668;0.014664696837416481
poly;0.1;scale;6;1;0.9892666666666666;0.009208872533233011;0.9887333333333332;0.011056370712550015;0.989;0.009874715185766126;0.9921333333333333;0.006812733176437603
poly;0.1;scale;6;10;0.9893666666666667;0.00914184518209169;0.9889666666666667;0.010540556595044378;0.9891666666666666;0.009722311110704788;0.9922666666666666;0.00669726312259969
poly;0.1;scale;6;100;0.9891666666666667;0.009348974988378857;0.9888333333333333;0.010523465842265729;0.989;0.009874715185766126;0.9921333333333333;0.006812733176437603
poly;1.0;0.1;1;0;0.9831666666666666;0.014474229973761459;0.9811;0.021802064122463227;0.9820333333333333;0.015241500363590612;0.9872333333333333;0.01062748010270231
poly;1.0;0.1;1;1;0.9837333333333333;0.013707783676923628;0.9817666666666667;0.020776027852631856;0.9826666666666667;0.014382744290758068;0.9876666666666667;0.010080839912097253
poly;1.0;0.1;1;10;0.9837333333333333;0.013707783676923628;0.9817666666666667;0.020776027852631856;0.9826666666666667;0.014382744290758068;0.9876666666666667;0.010080839912097253
poly;1.0;0.1;1;100;0.9837333333333333;0.013707783676923628;0.9817666666666667;0.020776027852631856;0.9826666666666667;0.014382744290758068;0.9876666666666667;0.010080839912097253
poly;1.0;1;1;0;0.9867;0.011852847759083074;0.9848666666666667;0.01764237323415794;0.9857;0.012108261642366334;0.9898666666666666;0.008431686268673317
poly;1.0;1;1;1;0.9875333333333334;0.011009692699314254;0.9858666666666668;0.01623032141805375;0.9866333333333334;0.011275785264598338;0.9905333333333334;0.007854510381515448
poly;1.0;1;1;10;0.9875333333333334;0.011009692699314254;0.9858666666666668;0.01623032141805375;0.9866333333333334;0.011275785264598338;0.9905333333333334;0.007854510381515448
poly;1.0;1;1;100;0.9875333333333334;0.011009692699314254;0.9858666666666668;0.01623032141805375;0.9866333333333334;0.011275785264598338;0.9905333333333334;0.007854510381515448
poly;1.0;10;1;0;0.9871666666666666;0.010318107061536672;0.9859;0.01562593997172652;0.9865333333333334;0.01125003703697606;0.9904000000000001;0.007884795495128619
poly;1.0;10;1;1;0.9877333333333334;0.009534323957855324;0.9865666666666666;0.014763919985333579;0.9871333333333334;0.010432800838381485;0.9908666666666667;0.007396170180122482
poly;1.0;10;1;10;0.9877333333333334;0.009534323957855324;0.9865666666666666;0.014763919985333579;0.9871333333333334;0.010432800838381485;0.9908666666666667;0.007396170180122482
poly;1.0;10;1;100;0.9877333333333334;0.009534323957855324;0.9865666666666666;0.014763919985333579;0.9871333333333334;0.010432800838381485;0.9908666666666667;0.007396170180122482
poly;1.0;scale;1;0;0.9874333333333333;0.00933266664285541;0.9860333333333333;0.014184169579734535;0.9866999999999999;0.009983786856699218;0.9905499999999999;0.006977320402561457
poly;1.0;scale;1;1;0.9874333333333333;0.010275375094532217;0.9860666666666665;0.015735734280081546;0.9867333333333334;0.011082568895943444;0.9905333333333334;0.007769384359994947
poly;1.0;scale;1;10;0.9874666666666667;0.0102714815549332;0.9861;0.015745793088949203;0.9867666666666667;0.011041889934849612;0.9906;0.007711679453919248
poly;1.0;scale;1;100;0.9874333333333333;0.010275375094532217;0.9860666666666665;0.015735734280081546;0.9867333333333334;0.011082568895943444;0.9905333333333334;0.007769384359994947
poly;1.0;scale;2;0;0.9892333333333333;0.008603100216394884;0.9890333333333333;0.010210941843597655;0.9891333333333333;0.00928026580079114;0.9922333333333334;0.006467096205665535
poly;1.0;scale;2;1;0.9889;0.009895958771134814;0.9888666666666667;0.010040086321010049;0.9888666666666667;0.009986157085352363;0.9920666666666667;0.006870468203356559
poly;1.0;scale;2;10;0.9890333333333333;0.009712020043911246;0.989;0.009901515035589253;0.9890333333333333;0.00983378530034765;0.9921333333333333;0.006812733176437603
poly;1.0;scale;2;100;0.989;0.009752435593224924;0.9890333333333333;0.009860189315288702;0.9890333333333333;0.00983378530034765;0.9921333333333333;0.006812733176437603
poly;1.0;scale;3;0;0.9889666666666667;0.009209958378479969;0.9885;0.011121600604229603;0.9887333333333334;0.009930424630061562;0.9919333333333333;0.00689951689129996
poly;1.0;scale;3;1;0.9890333333333333;0.009760293711427627;0.9889666666666667;0.009971124978322818;0.989;0.009874715185766126;0.9921333333333333;0.006812733176437603
poly;1.0;scale;3;10;0.9889666666666668;0.010000166665277794;0.9890333333333334;0.009737727318698788;0.989;0.009874715185766126;0.9921333333333333;0.006812733176437603
poly;1.0;scale;3;100;0.9893000000000001;0.009412226091632097;0.9891333333333333;0.010006164766449428;0.9892333333333334;0.009666609195231483;0.9922666666666666;0.00669726312259969
poly;1.0;scale;4;0;0.9882;0.009957911427603734;0.9873666666666666;0.01296160998230287;0.9877666666666668;0.01080385733584694;0.9912666666666666;0.0074768531705078625
poly;1.0;scale;4;1;0.9892;0.00956451776097466;0.9890666666666666;0.009963098580930174;0.9891333333333333;0.009737213838328382;0.9922;0.0067549981495186465
poly;1.0;scale;4;10;0.9892666666666666;0.00948753568284901;0.9891333333333333;0.009939986586174695;0.9891666666666666;0.009722311110704788;0.9922666666666666;0.00669726312259969
poly;1.0;scale;4;100;0.9892333333333334;0.009383140909809115;0.9889666666666667;0.01037802164833609;0.9891;0.009778036612735724;0.9922;0.0067549981495186465
poly;1.0;scale;5;0;0.9869333333333333;0.012326529654908292;0.9850666666666666;0.017779013845917666;0.9859666666666667;0.01253648010142133;0.9899999999999999;0.008573797291748855
poly;1.0;scale;5;1;0.9894333333333334;0.009281343293582737;0.9892333333333333;0.009941998457721308;0.9893333333333333;0.009569918146637024;0.9924;0.006581793068761714
poly;1.0;scale;5;10;0.9892666666666666;0.009449514978734797;0.9891;0.010016486409914425;0.9891666666666666;0.009722311110704788;0.9922666666666666;0.00669726312259969
poly;1.0;scale;5;100;0.9891333333333333;0.009847503913852156;0.9892;0.00960832971957143;0.9891666666666666;0.009722311110704788;0.9922666666666666;0.00669726312259969
poly;1.0;scale;6;0;0.9847;0.01758038679893021;0.9811666666666667;0.02607955776721169;0.9827333333333333;0.015490104368058118;0.9876999999999999;0.010565509926170141
poly;1.0;scale;6;1;0.9895333333333333;0.00897793591719908;0.9890333333333334;0.01070996420784559;0.9893333333333333;0.009569918146637024;0.9923333333333334;0.006639528095680662
poly;1.0;scale;6;10;0.9894;0.009109884741312581;0.989;0.010535653752852748;0.9892333333333334;0.009666609195231483;0.9922666666666666;0.00669726312259969
poly;1.0;scale;6;100;0.9893333333333333;0.009181684667496144;0.9889666666666667;0.010498730081935321;0.9891666666666666;0.009722311110704788;0.9922666666666666;0.00669726312259969
poly;10.0;0.1;1;0;0.9867666666666667;0.011614358929072784;0.9850666666666666;0.017177116560509634;0.9858666666666666;0.011955891155967154;0.9899333333333334;0.008373967598058503
poly;10.0;0.1;1;1;0.9875333333333334;0.011009692699314254;0.9858666666666668;0.01623032141805375;0.9866333333333334;0.011275785264598338;0.9905333333333334;0.007854510381515448
poly;10.0;0.1;1;10;0.9875333333333334;0.011009692699314254;0.9858666666666668;0.01623032141805375;0.9866333333333334;0.011275785264598338;0.9905333333333334;0.007854510381515448
poly;10.0;0.1;1;100;0.9874666666666667;0.011107354920652051;0.9858333333333333;0.01628537175913814;0.9866;0.01129070414101794;0.9904666666666667;0.007912226825194905
poly;10.0;1;1;0;0.9871666666666666;0.010318107061536672;0.9859;0.01562593997172652;0.9865333333333334;0.01125003703697606;0.9904000000000001;0.007884795495128619
poly;10.0;1;1;1;0.9877666666666668;0.009487008660970702;0.9866;0.014710200542480689;0.9871333333333334;0.010432800838381485;0.9908666666666667;0.007396170180122482
poly;10.0;1;1;10;0.9877333333333334;0.009534323957855324;0.9865666666666666;0.014763919985333579;0.9871333333333334;0.010432800838381485;0.9908666666666667;0.007396170180122482
poly;10.0;1;1;100;0.9877333333333334;0.009534323957855324;0.9865666666666666;0.014763919985333579;0.9871333333333334;0.010432800838381485;0.9908666666666667;0.007396170180122482
poly;10.0;10;1;0;0.9867333333333334;0.010075878787149715;0.9858666666666668;0.014567887057955026;0.9863;0.011458184847522741;0.9902666666666667;0.008000208330620753
poly;10.0;10;1;1;0.9875333333333334;0.00911281149444747;0.9867;0.013672234638127006;0.9871;0.010448444860360818;0.9908;0.007369531871157063
poly;10.0;10;1;10;0.9875333333333334;0.00911281149444747;0.9867;0.013672234638127006;0.9871;0.010448444860360818;0.9908;0.007369531871157063
poly;10.0;10;1;100;0.9875333333333334;0.00911281149444747;0.9867;0.013672234638127006;0.9871;0.010448444860360818;0.9908;0.007369531871157063
poly;10.0;scale;1;0;0.9872333333333333;0.00882579552599459;0.9862500000000001;0.013008420349911818;0.9867333333333334;0.009918602052036702;0.9905666666666667;0.006935031843233815
poly;10.0;scale;1;1;0.9876666666666667;0.009722311110704738;0.9864666666666667;0.01489977628467399;0.987;0.010737318100903994;0.9908;0.007538567503179935
poly;10.0;scale;1;10;0.9876666666666667;0.009722311110704738;0.9864666666666667;0.01489977628467399;0.987;0.010737318100903994;0.9908;0.007538567503179935
poly;10.0;scale;1;100;0.9876666666666667;0.009722311110704738;0.9864666666666667;0.01489977628467399;0.987;0.010737318100903994;0.9908;0.007538567503179935
poly;10.0;scale;2;0;0.9887333333333334;0.008947252837230711;0.9885333333333334;0.010569925890626374;0.9886333333333334;0.009640712283505446;0.9918666666666667;0.006785523806850406
poly;10.0;scale;2;1;0.9889;0.009895958771134814;0.9888333333333333;0.010081831844130956;0.9888666666666667;0.009986157085352363;0.992;0.006928203230275515
poly;10.0;scale;2;10;0.9889;0.009895958771134814;0.9888333333333333;0.010081831844130956;0.9888666666666667;0.009986157085352363;0.992;0.006928203230275515
poly;10.0;scale;2;100;0.9889333333333333;0.009856131763188511;0.9889;0.010026464980241031;0.9889333333333333;0.009930424630061562;0.9920666666666667;0.006870468203356559
poly;10.0;scale;3;0;0.9884666666666666;0.009388468103654225;0.9879333333333333;0.011755991380284889;0.9882;0.010209309477139035;0.9916;0.007102112361825869
poly;10.0;scale;3;1;0.9891666666666667;0.009625140691612404;0.9891000000000001;0.00988989383158384;0.9891333333333333;0.009737213838328382;0.9922;0.0067549981495186465
poly;10.0;scale;3;10;0.9890666666666666;0.009767974883942612;0.9890666666666666;0.009845980567385532;0.9891;0.009778036612735724;0.9922;0.0067549981495186465
poly;10.0;scale;3;100;0.9891333333333333;0.009563123618009602;0.9889666666666667;0.01015890414037526;0.9890333333333333;0.00983378530034765;0.9921333333333333;0.006812733176437603
poly;10.0;scale;4;0;0.9883666666666667;0.010421292306299311;0.9871;0.014377412840980791;0.9876999999999999;0.010956276739841873;0.9912000000000001;0.0075345869163478485
poly;10.0;scale;4;1;0.9893000000000001;0.009412226091632097;0.9891333333333333;0.010006164766449428;0.9892333333333334;0.009666609195231483;0.9922666666666666;0.00669726312259969
poly;10.0;scale;4;10;0.9893000000000001;0.009490521587352292;0.9892;0.009822423326246953;0.9892666666666668;0.009625660150521253;0.9923333333333334;0.006639528095680662
poly;10.0;scale;4;100;0.9882666666666667;0.010169234648356455;0.9877666666666668;0.01182384596200969;0.9880333333333334;0.010748178140193505;0.9914666666666667;0.007390083445627229
poly;10.0;scale;5;0;0.9876;0.013073637596323382;0.9852333333333334;0.01922142901382028;0.9863333333333334;0.01221733740768971;0.9902333333333333;0.008371578903249556
poly;10.0;scale;5;1;0.9893666666666667;0.009355390602926908;0.9892;0.009951884243699784;0.9892666666666668;0.009625660150521253;0.9923333333333334;0.006639528095680662
poly;10.0;scale;5;10;0.989;0.009823950325607324;0.9889666666666667;0.009943004240838545;0.9889666666666667;0.00988955678144038;0.9921333333333333;0.006812733176437603
poly;10.0;scale;5;100;0.9892333333333333;0.00954690176619269;0.9891333333333333;0.009877415316434409;0.9892;0.009681425514871275;0.9922666666666666;0.00669726312259969
poly;10.0;scale;6;0;0.9870666666666666;0.014620647500481466;0.9841666666666667;0.021646785750621997;0.9855;0.012979984591670376;0.9896666666666668;0.008862467677421078
poly;10.0;scale;6;1;0.9892;0.009266606714434359;0.9886666666666667;0.011107354920652063;0.9889333333333333;0.009930424630061562;0.9920666666666667;0.006870468203356559
poly;10.0;scale;6;10;0.9892;0.009337558567420082;0.9889;0.010392785959500932;0.9891;0.009778036612735724;0.9922;0.0067549981495186465
poly;10.0;scale;6;100;0.9892;0.009364293886887582;0.9889666666666667;0.010264664306899332;0.9891;0.009778036612735724;0.9922;0.0067549981495186465
