kernel;c_value;gamma;class;precision;recall;f1;accuracy
rbf;1.00;scale;0;0.9857;0.9856;0.9856;0.9878
rbf;1.00;scale;1;0.9999;1.0000;1.0000;1.0000
rbf;1.00;scale;2;0.9804;0.9804;0.9804;0.9879
rbf;1.00;1;0;0.9844;0.9846;0.9845;0.9869
rbf;1.00;1;1;0.9995;1.0000;0.9998;0.9999
rbf;1.00;1;2;0.9793;0.9787;0.9790;0.9870
rbf;1.00;10;0;0.9835;0.9867;0.9851;0.9873
rbf;1.00;10;1;0.9999;1.0000;1.0000;1.0000
rbf;1.00;10;2;0.9818;0.9773;0.9796;0.9874
rbf;1.00;0.1;0;0.9773;0.9870;0.9822;0.9848
rbf;1.00;0.1;1;0.9995;1.0000;0.9998;0.9999
rbf;1.00;0.1;2;0.9823;0.9685;0.9753;0.9848
rbf;10.00;10;0;0.9869;0.9834;0.9851;0.9874
rbf;10.00;10;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;10;2;0.9774;0.9822;0.9798;0.9874
rbf;10.00;scale;0;0.9866;0.9837;0.9851;0.9874
rbf;10.00;scale;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;scale;2;0.9778;0.9817;0.9797;0.9874
rbf;10.00;0.1;0;0.9833;0.9850;0.9842;0.9866
rbf;10.00;0.1;1;0.9997;1.0000;0.9999;0.9999
rbf;10.00;0.1;2;0.9797;0.9772;0.9784;0.9867
rbf;0.10;scale;0;0.9841;0.9826;0.9834;0.9859
rbf;0.10;scale;1;0.9994;1.0000;0.9997;0.9998
rbf;0.10;scale;2;0.9767;0.9783;0.9775;0.9861
rbf;0.10;10;0;0.9851;0.9830;0.9840;0.9865
rbf;0.10;10;1;0.9997;1.0000;0.9999;0.9999
rbf;0.10;10;2;0.9770;0.9796;0.9783;0.9865
rbf;0.10;0.1;0;0.9707;0.9826;0.9766;0.9800
rbf;0.10;0.1;1;0.9992;0.9993;0.9992;0.9996
rbf;0.10;0.1;2;0.9762;0.9596;0.9678;0.9802
rbf;10.00;1;0;0.9863;0.9888;0.9876;0.9894
rbf;10.00;1;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;1;2;0.9846;0.9812;0.9829;0.9894
rbf;0.10;1;0;0.9809;0.9848;0.9829;0.9855
rbf;0.10;1;1;0.9990;1.0000;0.9995;0.9997
rbf;0.10;1;2;0.9799;0.9736;0.9767;0.9856
