kernel;c_value;gamma;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std
rbf;0.1;0.1;0.9820333333333333;0.015118972628235462;0.9805;0.019933138237618275;0.9812;0.016197530676001177;0.9866;0.011258774356030106
rbf;0.1;1;0.9866;0.010750348831549619;0.9861333333333334;0.013250408798725147;0.9863666666666667;0.011788695149732817;0.9902666666666667;0.008169659315622252
rbf;0.1;10;0.9872666666666667;0.011504057255304923;0.9875333333333334;0.010929470862458674;0.9874;0.011194194924156022;0.9909666666666667;0.0077364936071409665
rbf;0.1;scale;0.9867333333333334;0.011576844705416596;0.9869666666666667;0.011490140701198285;0.9868666666666668;0.011498840521258349;0.9906;0.007968061244744574
rbf;1.0;0.1;0.9863666666666666;0.011645313792823925;0.9851666666666667;0.01582982417253375;0.9857666666666667;0.01263342128377482;0.9898333333333333;0.008717989064763334
rbf;1.0;1;0.9877333333333334;0.010504443504219252;0.9877666666666668;0.010997423940784191;0.9877666666666668;0.010777909506640582;0.9912666666666666;0.0074768531705078625
rbf;1.0;10;0.9884000000000001;0.009995498987044122;0.988;0.011405700329221377;0.9882333333333334;0.010554777749120703;0.9915666666666666;0.007303652054508984
rbf;1.0;scale;0.9886666666666667;0.010082823678579973;0.9886666666666667;0.0101534887271978;0.9886666666666667;0.0101534887271978;0.9918999999999999;0.007014983962918229
rbf;10.0;0.1;0.9875666666666666;0.010660831737408382;0.9874;0.011587924749496792;0.9874999999999999;0.01112339876117008;0.9910666666666668;0.007650054466037044
rbf;10.0;1;0.9903;0.008443340571124669;0.9899999999999999;0.009457272334029532;0.9901666666666666;0.008834213792598246;0.9929333333333332;0.006119912853410065
rbf;10.0;10;0.9881000000000001;0.011347686988985873;0.9885333333333334;0.00994853423039462;0.9883000000000001;0.010473299384625665;0.9916;0.007274613391789252
rbf;10.0;scale;0.9881333333333334;0.01117914725430047;0.9884666666666666;0.010038094108611123;0.9882666666666667;0.010513958975254449;0.9916;0.007274613391789252
