kernel;c_value;gamma;degree;class;precision;recall;f1;accuracy;N
rbf;10.00;scale;0;0;0.9940;0.9881;0.9910;0.9922;10
rbf;10.00;scale;0;1;1.0000;1.0000;1.0000;1.0000;10
rbf;10.00;scale;0;2;0.9826;0.9912;0.9869;0.9922;10
rbf;10.00;scale;0;0;0.9910;0.9821;0.9865;0.9886;5
rbf;10.00;scale;0;1;1.0000;1.0000;1.0000;0.9983;5
rbf;10.00;scale;0;2;0.9753;0.9875;0.9814;0.9936;5
rbf;10.00;scale;0;0;1.0000;1.0000;1.0000;1.0000;30
rbf;10.00;scale;0;1;1.0000;1.0000;1.0000;1.0000;30
rbf;10.00;scale;0;2;1.0000;1.0000;1.0000;1.0000;30
rbf;10.00;scale;0;0;0.9862;0.9879;0.9870;0.9890;1
rbf;10.00;scale;0;1;1.0000;1.0000;1.0000;1.0000;1
rbf;10.00;scale;0;2;0.9834;0.9811;0.9823;0.9890;1
rbf;10.00;scale;0;0;1.0000;1.0000;1.0000;1.0000;20
rbf;10.00;scale;0;1;1.0000;1.0000;1.0000;0.9980;20
rbf;10.00;scale;0;2;1.0000;1.0000;1.0000;1.0000;20
rbf;10.00;scale;0;0;1.0000;1.0000;1.0000;1.0000;40
rbf;10.00;scale;0;1;1.0000;1.0000;1.0000;1.0000;40
rbf;10.00;scale;0;2;1.0000;1.0000;1.0000;1.0000;40
