kernel;c_value;gamma;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std;data_count
linear;0.01;0;0.9874666666666666;0.008274286043146546;0.9866666666666667;0.011483383440349602;0.9870466666666666;0.009259579338383022;0.9907800000000001;0.006478227270745346;15
linear;0.1;0;0.9874933333333333;0.0083429582511812;0.98668;0.011468852228037982;0.9870666666666666;0.009274825117078006;0.9908;0.006491532946846996;15
linear;1.0;0;0.9874933333333333;0.0083429582511812;0.98668;0.011468852228037982;0.9870666666666666;0.009274825117078006;0.9908;0.006491532946846996;15
linear;10.0;0;0.9874933333333333;0.0083429582511812;0.98668;0.011468852228037982;0.9870666666666666;0.009274825117078006;0.9908;0.006491532946846996;15
linear;100.0;0;0.9872;0.009608329719571438;0.9863666666666666;0.013868789901549989;0.9867666666666667;0.01084911670751742;0.9906;0.007626925986267291;3
poly;0.01;scale;0.9832533333333333;0.015693987323024003;0.9795133333333333;0.023728098673654118;0.9811733333333332;0.013956947408096856;0.98662;0.009591082167454175;15
poly;0.1;scale;0.9873066666666667;0.009498531214777122;0.98588;0.013443915246045605;0.9865533333333333;0.010024389305707426;0.9904;0.006913754406977445;15
poly;1.0;scale;0.9879444444444445;0.009094052719871104;0.9867925925925926;0.012293022596514016;0.9873444444444445;0.009531701492038733;0.9909555555555556;0.006561093561133593;27
poly;10.0;scale;0.9887133333333333;0.008206431856143307;0.9879666666666667;0.010279985176939484;0.9883400000000001;0.008729490248576952;0.9916533333333334;0.006049895709451368;15
poly;100.0;scale;0.9887666666666667;0.0082351742688358;0.9878733333333334;0.01066177864193044;0.9883066666666667;0.008750956410315284;0.9916466666666667;0.0060510762521657135;15
rbf;0.01;scale;0.9812066666666667;0.01297368031640909;0.9805866666666667;0.015714091340789212;0.9808800000000001;0.014095906193947648;0.9863533333333334;0.009762015794955099;15
rbf;0.1;scale;0.9872933333333334;0.009173600840507104;0.9870800000000001;0.010122549086075114;0.9871800000000001;0.009586389160828867;0.9908333333333333;0.006634290431071703;15
rbf;1.0;scale;0.9886466666666667;0.008490740054121704;0.9885066666666666;0.008984945080257194;0.98858;0.008651771082104678;0.99182;0.00597724255584701;15
rbf;10.0;scale;0.9888533333333334;0.008456009415681566;0.9888600000000001;0.008511320193047105;0.9888399999999999;0.008454990073492525;0.9920266666666666;0.005826352285296597;15
rbf;100.0;scale;0.9889933333333333;0.008388041374196848;0.9890533333333333;0.008332369468067334;0.98902;0.008307500913546227;0.9921333333333333;0.005743899455281307;15
sigmoid;0.01;scale;0.06195333333333333;0.11026006184514517;0.1009;0.1628159609585533;0.07635333333333333;0.1303982244985757;0.4039066666666667;0.15215823749667726;15
sigmoid;0.1;scale;0.05052;0.10577341145783553;0.07356666666666666;0.1366336011103453;0.059526666666666665;0.11864763236856717;0.38652;0.16746551542673752;15
sigmoid;1.0;scale;0.049113333333333335;0.10538973158619168;0.07051333333333334;0.13418736297040934;0.05755333333333333;0.11755918185363166;0.38458;0.1691777476079945;15
sigmoid;10.0;scale;0.048973333333333334;0.10536464212212658;0.07023333333333334;0.1340160153897749;0.057359999999999994;0.11747881146341728;0.3844066666666667;0.16933870735754367;15
sigmoid;100.0;scale;0.048946666666666666;0.10535621119846346;0.07017333333333334;0.13398426062503796;0.057313333333333334;0.11745976737751933;0.3843666666666667;0.16937161031575623;15
