kernel;c_value;gamma;degree;class;precision;recall;f1;accuracy
poly;10.00;scale;2;0;0.9846;0.9867;0.9857;0.9878
poly;10.00;scale;2;1;0.9990;0.9999;0.9994;0.9997
poly;10.00;scale;2;2;0.9826;0.9790;0.9808;0.9881
poly;10.00;scale;3;0;0.9827;0.9875;0.9851;0.9874
poly;10.00;scale;3;1;0.9993;0.9999;0.9996;0.9998
poly;10.00;scale;3;2;0.9834;0.9764;0.9799;0.9876
poly;10.00;scale;4;0;0.9794;0.9897;0.9845;0.9868
poly;10.00;scale;4;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;4;2;0.9859;0.9716;0.9787;0.9869
poly;10.00;scale;5;0;0.9738;0.9922;0.9829;0.9854
poly;10.00;scale;5;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;5;2;0.9892;0.9635;0.9762;0.9854
poly;10.00;scale;6;0;0.9711;0.9930;0.9819;0.9845
poly;10.00;scale;6;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;6;2;0.9903;0.9595;0.9747;0.9846
