kernel;c_value;gamma;degree;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std
poly;0.1;scale;1;0.98602;0.010202324665066702;0.9846;0.01354938058679119;0.9852666666666666;0.010559739354647674;0.9895133333333334;0.00738152778095108
poly;0.1;scale;2;0.9885333333333333;0.008732751707277175;0.9869666666666668;0.013165141563270496;0.9877066666666666;0.008865782268818432;0.99124;0.006196980831709224
poly;0.1;scale;3;0.9879733333333333;0.008910705172244607;0.98668;0.012575668116304143;0.9873;0.009431406500168929;0.99094;0.006514905985507388
poly;0.1;scale;4;0.98676;0.010327757328121698;0.9850266666666666;0.014742769010441624;0.9858533333333334;0.010630472820197258;0.9899;0.0073140764478992325
poly;0.1;scale;5;0.9844933333333333;0.013521330591046897;0.9816;0.019926615367392438;0.9829266666666666;0.012854430401709032;0.9878266666666667;0.008805798955125833
poly;0.1;scale;6;0.9802533333333333;0.02011328156313871;0.97512;0.030109068401396936;0.9773200000000001;0.017318990402775458;0.9838933333333333;0.01176808436083841
poly;1.0;scale;1;0.9875733333333333;0.008261482629534196;0.98654;0.012079191079822242;0.9870266666666667;0.009151148769937254;0.99076;0.0064170309111212616
poly;1.0;scale;2;0.9886533333333334;0.007649170512141148;0.98802;0.010217296259634582;0.9883266666666667;0.008482037041946493;0.9916733333333333;0.005918550337307119
poly;1.0;scale;3;0.9885733333333333;0.008322728490333543;0.9877333333333334;0.010770042224792315;0.98814;0.008970730182097772;0.9915266666666667;0.006184943314980645
poly;1.0;scale;4;0.9878;0.009299615967493352;0.98648;0.012665205429499688;0.9871199999999999;0.009755452687746344;0.9908133333333333;0.006715320082432679
poly;1.0;scale;5;0.9861066666666667;0.011984601231024182;0.9836866666666667;0.017380525500302526;0.9848066666666667;0.01160926149162607;0.98916;0.007954854762075423
poly;1.0;scale;6;0.9834600000000001;0.01739288853033247;0.9790333333333333;0.025738649833239022;0.9809666666666668;0.014598711619604689;0.98646;0.009933334931287828
poly;10.0;scale;1;0.9878;0.00797854265246122;0.9869666666666668;0.011383111968843918;0.9873666666666666;0.008907113262256563;0.99098;0.006266828771966168
poly;10.0;scale;2;0.9891266666666667;0.007885018947949577;0.9887133333333333;0.009336094829566943;0.98892;0.00838827412863593;0.9920733333333334;0.005813342616855851
poly;10.0;scale;3;0.9889466666666666;0.008183246532368661;0.9882266666666666;0.010208432555397271;0.9885933333333334;0.008707506340317339;0.99184;0.006021248090838681
poly;10.0;scale;4;0.9883733333333333;0.009025952000969726;0.9870533333333333;0.012282732750065185;0.9877;0.00937069901341409;0.9912133333333333;0.006459419109958352
poly;10.0;scale;5;0.9872733333333333;0.011423501256286585;0.98486;0.016597624614900244;0.9859666666666667;0.010703848884975024;0.99;0.007331926271938569
poly;10.0;scale;6;0.9867466666666667;0.012814827721191158;0.98374;0.018863979280250336;0.9851066666666667;0.01136249888679338;0.9893733333333333;0.007777758276619554
